mag_r,u-g,g-r,r-i,i-z,z_spec
0.502913,0.304073,0.712075,-0.19697699999999999,-0.513896,0.393756
0.287078,-0.210965,-0.016728,-0.611923,-0.21566100000000002,0.215757
-1.6857630000000001,0.10156,-0.17717,-0.666984,-0.195223,0.184636
-0.39473,0.24170500000000003,0.168896,0.049354,0.017711,3.6e-05
-0.019021,0.11772200000000001,0.714807,-0.22428299999999998,-0.043515,0.360471
-1.1537540000000002,-0.019208000000000003,-0.206107,-0.647786,-0.28043,0.18909700000000002
-0.619116,-0.105274,0.546883,-0.328906,-0.039793,0.302346
-0.280301,-0.498526,0.765195,-0.285247,0.126026,0.343871
-0.15190499999999998,0.1819,0.39754,-0.263175,0.008403,0.303606
-0.513706,0.067078,0.6072890000000001,-0.343375,0.018445,0.29901500000000003
-1.225333,0.12056099999999999,0.130981,-0.54945,0.007069,0.226019
1.131405,-0.11030799999999999,0.176553,0.29824,-0.5203409999999999,0.48256400000000005
-0.258768,-0.590516,0.436899,-0.40377199999999996,0.13980499999999998,0.323065
-1.010046,0.042442,-0.038898,-0.6190180000000001,-0.023594999999999998,0.186895
-0.713861,0.306924,0.068047,-0.535742,-0.041073,0.214644
0.012365000000000001,0.02678,0.560987,-0.22932399999999997,0.171241,0.357204
-0.764077,0.044593,0.211233,-0.5430520000000001,-0.068592,0.248187
-0.7643939999999999,0.099539,0.105922,-0.371167,0.49421800000000005,0.25297600000000003
0.25117399999999995,-0.384456,1.038211,-0.262251,0.035946,0.365044
-0.23602800000000002,0.146805,0.702217,-0.197608,-0.288069,0.318803
0.299773,0.09472,0.801461,-0.041432,0.34888800000000003,0.378429
-0.9787110000000001,0.058477,-0.209106,-0.653365,0.020083,0.1837
0.061651,0.14372100000000002,0.824984,-0.333491,-0.094098,0.336823
-0.31995500000000004,0.23158800000000002,0.926767,-0.24476399999999998,0.210121,0.349533
-0.07,-0.39155,0.529562,0.111651,0.19584200000000002,0.432835
0.001176,-0.111114,0.813449,-0.263415,-0.06501900000000001,0.348599
0.063826,0.070897,1.034267,-0.007552,0.181564,0.41621400000000003
-0.829828,0.312659,0.513813,-0.447097,-0.345986,0.2505
0.503973,-0.096774,0.312884,0.18573299999999998,0.261087,0.43006700000000003
0.743733,-0.513748,-0.145504,0.260248,-0.638767,0.514822
0.081833,0.271893,0.433021,0.137572,0.31041399999999997,0.472045
-0.04415,-0.408217,0.8510469999999999,-0.142966,0.356121,0.38458000000000003
0.168355,-0.624102,0.607902,-0.068633,0.172926,0.384781
0.173818,0.21348699999999998,0.8655299999999999,-0.08203099999999999,0.103523,0.39358699999999996
