mag_r,u-g,g-r,r-i,i-z,z_spec
-0.789428,-0.255316,-0.420968,-0.770597,-0.18298499999999998,0.15982000000000002
0.572108,-0.8085180000000001,0.710761,0.46171,-0.121938,0.507417
-0.661517,-0.531821,-1.7119849999999999,-1.225647,-1.065057,0.082204
-0.596575,-0.274868,-1.4352049999999998,-1.14481,-0.9096620000000001,0.074724
1.330033,-0.23699099999999998,1.650773,0.9292809999999999,0.781381,0.570964
-0.40258499999999997,0.29028699999999996,-0.869382,-1.11586,-0.53966,0.103995
-1.161549,0.33866799999999997,-0.253693,-0.794395,-0.400237,0.18195799999999998
-0.253052,0.015211,-1.6954630000000002,-1.7971849999999998,-0.48878,0.040083
-0.14380199999999999,-0.363718,-0.752317,-0.6054430000000001,0.020130000000000002,0.142817
-0.357165,-0.601603,-0.9730620000000001,-0.8961459999999999,-0.154568,0.14366800000000002
0.706589,1.4600870000000001,0.5641390000000001,0.419501,0.168541,0.503021
-1.706549,0.002534,-0.928424,-0.9374709999999999,-0.21085900000000002,0.049544
-1.7556060000000002,0.057152,-0.835216,-0.847534,-0.23758600000000002,0.069358
0.058213,2.281388,0.9378139999999999,-0.253204,-0.36499299999999996,0.337117
-1.0030350000000001,-0.377718,-1.1472280000000001,-0.958209,-0.544443,0.054134
-1.342308,-0.597171,-1.835216,-1.471357,-0.889766,0.049589
0.417501,0.233479,0.741613,0.281829,-0.000172,0.47078000000000003
-0.9106,0.156415,-0.5767869999999999,-0.8719100000000001,-0.218275,0.109136
1.220594,1.625529,0.425192,0.9247129999999999,1.021635,0.6525810000000001
-0.996218,-0.5240020000000001,-1.455047,-1.0997299999999999,-0.743297,0.041592000000000004
0.8116979999999999,-1.79692,1.8659400000000002,0.6360979999999999,0.513966,0.533918
1.157986,-0.43418,0.456362,1.224089,0.36905,0.6459729999999999
-0.8918209999999999,-0.60535,-1.571295,-1.26072,-0.684982,0.05569299999999999
0.61942,2.4298450000000003,0.69572,0.7508560000000001,0.9102549999999999,0.502898
1.164501,0.933319,0.91405,1.244365,1.055358,0.591237
-1.26019,-0.452326,-1.2927959999999998,-1.043988,-0.352946,0.075614
-1.6229200000000001,-0.8556030000000001,-1.8683439999999998,-1.630025,-0.594605,0.026077999999999997
1.6940810000000002,0.273444,0.049434,2.981679,0.362262,0.73165
1.3183559999999999,-0.551137,-0.089253,0.735282,-0.73729,0.670491
-0.9005620000000001,-0.279059,-0.8944120000000001,-0.8578389999999999,-0.22416599999999998,0.115888
0.79168,0.13678099999999999,0.643708,0.500075,0.145103,0.458059
-0.7919609999999999,0.254424,-0.302691,-0.643745,-0.066236,0.18366500000000002
-1.478494,-0.487971,-1.319876,-0.975649,-0.366226,0.047194
-2.036221,-0.11439,-0.97788,-0.85816,-0.18065499999999998,0.082646
-0.6487430000000001,0.21393299999999998,-0.6429020000000001,-0.70692,0.176008,0.109975
-0.9407760000000001,0.304325,0.10853800000000001,-0.58557,-0.208725,0.22471999999999998
0.48417200000000005,-0.30148,-0.029738,0.12680999999999998,0.44447700000000007,0.5038100000000001
0.9261879999999999,-1.036982,-0.389524,0.009462,-0.383438,0.5295340000000001
0.727643,-2.1595720000000003,2.452915,0.786497,2.236898,0.637383
0.568393,-0.8294860000000001,-1.45759,-0.15854100000000002,-0.166459,0.209215
0.5592,-1.009469,0.005445,0.8561979999999999,0.679184,0.615222
-0.010343000000000001,0.61475,0.842039,-0.324712,0.054352,0.340789
-0.9203379999999999,-0.558763,-1.23645,-0.96621,-0.634156,0.092926
1.2028370000000002,-0.81534,0.658764,1.306534,0.338519,0.560017
-1.322582,-1.138172,-3.4858629999999997,-2.392159,-1.489325,0.031327
-1.080878,0.01656,-0.42055200000000004,-0.8343510000000001,-0.265761,0.164107
-1.469554,1.080207,-0.244547,-0.695141,-0.300478,0.183523
1.049264,-1.07338,0.757687,0.956084,-0.680191,0.533191
-0.774103,-0.084961,-0.59525,-0.711791,-0.350707,0.142073
-1.631684,-0.102565,-1.006979,-0.85895,-0.5305270000000001,0.110404
-1.0088540000000001,-0.375714,-1.2892059999999999,-0.9062870000000001,-0.42924700000000005,0.083955
1.028027,-0.94629,0.135205,0.600657,0.594105,0.545617
0.880283,-0.028432,0.8629469999999999,0.83839,-1.819668,0.594554
1.091461,0.664194,0.438475,1.059549,0.136216,0.5777140000000001
-0.971306,-0.010979000000000001,-0.417655,-0.646534,0.014426,0.133388
0.74024,-1.911605,1.146816,0.8079310000000001,0.055413,0.530673
-0.002872,0.636961,1.0786799999999999,-0.14113599999999998,-0.084267,0.371173
0.8883409999999999,-0.892028,-0.8749819999999999,0.044143,0.723681,0.716255
-0.975901,-0.149807,-0.8827229999999999,-0.562334,-0.011228,0.125447
-1.251295,0.17402,-0.46804300000000004,-0.660559,0.091297,0.146142
-1.240524,-0.675304,-1.492674,-1.0187760000000001,-1.034838,0.08375
0.9060299999999999,-0.446927,0.528033,0.34615,0.405737,0.455987
-0.9902690000000001,-0.38224400000000003,-1.049418,-0.686895,-0.17235,0.09980900000000001
0.297367,-0.133792,0.954566,0.718251,0.157696,0.5166029999999999
0.9659620000000001,0.40865100000000004,0.674513,1.675079,0.348584,0.638573
-0.752037,0.56782,-0.046589,-0.454875,-0.19635,0.261443
-0.955483,-0.216479,-1.025012,-0.8785360000000001,-0.673325,0.11450199999999999
1.703925,-1.872136,0.28525700000000004,1.7272470000000002,-0.579398,0.639849
-2.4536700000000002,0.096577,-0.6762060000000001,-0.795003,-0.24323499999999998,0.09376699999999999
-1.2519209999999998,-0.35492399999999996,-0.806299,-0.935529,-0.361506,0.12122100000000001
0.650464,-0.365075,0.592853,1.285988,0.735159,0.631959
-1.7320400000000002,-0.265462,-0.987883,-0.96554,-0.258708,0.111124
0.37144699999999997,2.037519,1.2298069999999999,-0.041694999999999996,0.035735,0.3547
0.56848,-0.371106,0.691459,0.2888,0.7890510000000001,0.492804
-0.783468,-0.5888140000000001,-1.455678,-1.114491,-0.664945,0.091603
-1.1978879999999998,-0.135989,-0.924608,-1.021168,-0.274492,0.074153
0.499655,1.6530939999999998,0.935902,0.131823,0.053174,0.433511
-0.9313969999999999,-0.333084,-0.855143,-0.8678389999999999,-0.76399,0.128932
1.235738,-1.876032,1.289009,1.698841,0.74279,0.681122
-1.350185,0.238925,-0.601963,-0.9264290000000001,-0.55152,0.114281
