# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000        0.676     4168.312
       0.106       98.200       34.184     4265.445
       0.211      100.000      170.301     4374.492
       0.316      100.000      309.551     4486.305
       0.421       93.400      402.387     4560.805
       0.526       45.800      404.496     4596.215
       0.632        6.700      405.223     4597.219
       0.732        8.500      405.535     4597.219
       0.833        9.900      406.438     4598.223
       0.933        5.600      407.020     4598.223
       1.033        5.900      407.961     4599.227
       1.134        4.400      408.355     4600.230
       1.238        8.500      409.422     4601.234
       1.338        5.700      410.309     4602.238
       1.444        3.100      410.488     4602.238
       1.547        6.300      411.250     4603.242
       1.647        6.100      411.984     4603.242
       1.751        5.400      412.645     4604.246
       1.852        5.700      413.211     4604.246
       1.953        6.400      413.992     4605.250
       2.053        8.300      414.848     4606.254
       2.155        9.600      415.555     4607.258
       2.258        9.200      416.332     4608.262
       2.359        6.900      416.863     4608.262
       2.462        9.000      417.492     4609.266
       2.562        5.100      417.891     4609.266
       2.663        9.900      418.590     4610.270
       2.768        9.500      419.398     4610.910
       2.870       43.000      438.543     4626.160
       2.975       99.900      460.012     4650.164
       3.081       99.900      481.297     4674.777
       3.185      100.000      503.934     4698.992
       3.287      100.000      522.758     4723.961
       3.388       99.900      545.855     4745.984
       3.489       99.800      564.969     4769.723
       3.594       99.900      584.223     4792.996
       3.699       99.900      608.555     4817.082
       3.800      100.000      626.473     4840.777
       3.901      100.000      650.012     4865.059
       4.002       99.900      666.602     4889.602
       4.103      100.000      689.984     4910.102
       4.209       99.800      713.574     4935.148
       4.314       99.900      727.734     4960.266
       4.415      100.000      751.133     4980.766
       4.519       99.900      775.316     5007.770
       4.625       99.900      799.570     5029.020
       4.730      100.000      813.145     5056.996
       4.835       99.900      837.539     5078.246
       4.937       99.900      860.961     5106.277
       5.039       99.900      884.652     5127.027
       5.139       99.900      907.859     5147.277
       5.244       99.800      918.258     5176.723
       5.349       99.900      942.340     5197.723
       5.450       99.900      965.742     5218.223
       5.551       99.900      994.180     5245.941
       5.653       99.900     1061.844     5321.176
       5.753       99.900     1111.617     5321.176
       5.859       99.900      880.734     5074.480
       5.964      100.000      499.676     4685.996
       6.069       80.500      574.418     4764.730
       6.170       78.600      574.418     4764.730
       6.274       75.900      574.418     4764.730
       6.378       76.400      574.418     4764.730
       6.479       79.800      574.418     4764.730
       6.579       70.100      574.418     4764.730
       6.680       69.500      574.418     4764.730
       6.781       79.600      574.422     4764.730
       6.883      100.100      574.422     4764.730
       6.986      100.000      324.684     4510.996
